ZoneOrig,ZoneDest,Demand
1,1,1139.5884942833757
1,2,75.17524241831448
1,3,190.5667274396882
1,4,62.28729352541414
1,5,602.5316488957753
1,6,4818.498393336769
1,7,42.623754344253264
1,8,1370.009502578593
1,9,33.26193030364965
1,10,383.43892189697345
1,11,27.511258842870497
1,12,36.074661427489005
1,13,73.99747903637582
1,14,40.89923872042316
1,15,103.53545295003501
2,1,162.78897573869966
2,2,2467.7332294548405
2,3,630.0728573292357
2,4,31.24230962317158
2,5,214.45307004987427
2,6,1513.1290813651399
2,7,55.47108120118134
2,8,2973.239797451217
2,9,92.90791858146001
2,10,1133.2730474434527
2,11,42.356017082090105
2,12,64.0302699208926
2,13,206.37517936251052
2,14,109.3842285061703
2,15,303.5429368900652
3,1,69.35819386162115
3,2,105.89886784182428
3,3,8398.92653670817
3,4,21.487112302031154
3,5,179.1313512935604
3,6,965.0681463990592
3,7,57.829348615879866
3,8,4602.607603763101
3,9,347.0469902442811
3,10,1453.6258380763695
3,11,42.27941221018054
3,12,63.01815006362606
3,13,223.91674649398922
3,14,110.89733880935736
3,15,358.9083633169485
4,1,99.83730743355396
4,2,23.125246884997015
4,3,99.46345670123345
4,4,1826.591595364293
4,5,306.4557922596346
4,6,342.349043824541
4,7,147.64415399145844
4,8,1032.2926552695278
4,9,28.966253622697625
4,10,627.1500704401836
4,11,79.85437248164405
4,12,96.98505794338428
4,13,95.2952568600207
4,14,46.35902506832136
4,15,147.63071185450846
5,1,206.11853078578687
5,2,33.87811897069039
5,3,215.62818569494388
5,4,65.40509930262917
5,5,3508.5505618715897
5,6,1463.6459825891295
5,7,329.960047354093
5,8,7675.523958653154
5,9,38.25164610717722
5,10,899.3546283633609
5,11,118.01362859699667
5,12,123.79896373135196
5,13,99.15730743278428
5,14,46.155789069864454
5,15,176.55755147644882
6,1,1002.9134167293121
6,2,145.4378840899392
6,3,551.8982344450142
6,4,44.45569894443166
6,5,890.5341809446119
6,6,13342.04205664538
6,7,60.23530097563222
6,8,3990.517049515299
6,9,74.75449728546647
6,10,1295.787954860239
6,11,42.9426310730453
6,12,56.309851636658564
6,13,165.93121624775804
6,14,86.25106107229767
6,15,249.9889655349117
7,1,46.8792469515661
7,2,28.173798495267626
7,3,174.75375959251156
7,4,101.30987581253089
7,5,1060.847871916145
7,6,318.2938801887125
7,7,2820.0674800769184
7,8,2619.1857796498293
7,9,47.811786259731214
7,10,1743.2290785031303
7,11,230.81175171581108
7,12,232.13814995962315
7,13,176.40671998672883
7,14,74.77025384611647
7,15,325.3205670453772
8,1,55.7599511970988
8,2,82.75136068203022
8,3,762.1643150820581
8,4,35.95299064238714
8,5,397.7405449892081
8,6,1155.507603658283
8,7,143.5267124623515
8,8,26116.3595016809
8,9,129.83030732671733
8,10,18091.595799996263
8,11,82.96550829528056
8,12,95.37512929084164
8,13,183.0238452780357
8,14,88.22998461633101
8,15,579.2164448022208
9,1,36.90738898015526
9,2,47.60674078199366
9,3,1058.0433353597628
9,4,20.052328125672705
9,5,105.74687676805395
9,6,398.52124220841296
9,7,48.236069874161764
9,8,2390.268005096361
9,9,5057.942873653494
9,10,2695.8039956579123
9,11,49.7868309818089
9,12,88.95634770577219
9,13,321.44222269375985
9,14,157.32988493158436
9,15,523.3558571810971
10,1,34.96526376212287
10,2,47.72270152047377
10,3,364.20218624058776
10,4,35.67949427228603
10,5,239.73663960303932
10,6,567.7051443694653
10,7,144.53271103853075
10,8,27372.983168043374
10,9,221.54556148673564
10,10,16237.108607549684
10,11,120.23757250776201
10,12,142.96673945567593
10,13,243.72079153630676
10,14,109.35385700771364
10,15,1117.5395616062394
11,1,34.30770820669767
11,2,24.391932305337715
11,3,144.86367092719993
11,4,62.12788175742276
11,5,430.205773309637
11,6,257.13693503517607
11,7,261.70392435287755
11,8,1716.6567409449076
11,9,55.953834682598504
11,10,1644.2991431224589
11,11,3197.5093165306266
11,12,354.15328676823384
11,13,241.32846401803582
11,14,97.21312523311286
11,15,478.14826280567615
12,1,40.254010181808795
12,2,32.99453921161465
12,3,193.2065471128504
12,4,67.51780558136066
12,5,403.81897621757713
12,6,301.72722967003256
12,7,235.51820393092268
12,8,1765.8209632863295
12,9,89.45774761042034
12,10,1749.4490028294763
12,11,316.8961189261171
12,12,7947.580974557633
12,13,754.7664099605511
12,14,239.95790708961218
12,15,1861.033563833694
13,1,38.49429558403798
13,2,49.577744249009804
13,3,320.0481553320221
13,4,30.92839179070531
13,5,150.7880772241862
13,6,414.72080822589874
13,7,83.43833915990908
13,8,1579.7623829768306
13,9,150.70112766782222
13,10,1390.3732978569876
13,11,100.67155028397106
13,12,351.8723392902001
13,13,12004.733843856455
13,14,722.9628428314638
13,15,1610.9268036705005
14,1,31.98255332344601
14,2,39.500488176624714
14,3,238.2694342380996
14,4,22.617198167734387
14,5,98.6078743353323
14,6,324.04896011248127
14,7,53.16157471518294
14,8,1144.7713506842679
14,9,110.87745796411933
14,10,937.7593437136018
14,11,60.959524233458446
14,12,168.16131133823066
14,13,1086.7619712722792
14,14,10916.465656506109
14,15,766.0553012190345
15,1,45.28074656639769
15,2,61.30479849516231
15,3,431.278064726282
15,4,40.28170137301121
15,5,225.72185666879895
15,6,525.2833166769196
15,7,129.36210829146566
15,8,4203.102825489104
15,9,206.2793275637523
15,10,5359.77777384774
15,11,167.6894840429866
15,12,729.4101598907345
15,13,1354.3186094648418
15,14,428.4367387905097
15,15,10092.472488112291
